epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3582.76,0.4018,1.02712,0.00359,0.79383,0.86508,0.93949,0.88264,0.38436,1.47061,0.0052,0.000528272,0.000528272,0.000528272
71,3640.5,0.41958,1.0832,0.00378,0.85319,0.86508,0.93657,0.87318,0.43127,1.41673,0.00599,0.000511769,0.000511769,0.000511769
72,3694.78,0.46584,1.11147,0.00436,0.90396,0.89129,0.94202,0.85742,0.47965,1.37651,0.00669,0.000495266,0.000495266,0.000495266
73,3746.66,0.46204,0.93265,0.00396,0.91064,0.90079,0.94202,0.86037,0.50743,1.34884,0.00682,0.000478762,0.000478762,0.000478762
74,3799.86,0.40657,0.95707,0.0034,0.88256,0.90274,0.93993,0.86664,0.48352,1.30699,0.00607,0.000462259,0.000462259,0.000462259
75,3852.22,0.39422,0.97029,0.00355,0.88723,0.90079,0.93993,0.86401,0.43588,1.25689,0.00517,0.000445756,0.000445756,0.000445756
76,3899.21,0.38656,0.98861,0.00359,0.89447,0.95159,0.94527,0.87191,0.42243,1.22087,0.00507,0.000429253,0.000429253,0.000429253
77,3948.88,0.41076,1.05327,0.00404,0.90181,0.94961,0.94277,0.88064,0.37937,1.18407,0.00462,0.000412749,0.000412749,0.000412749
78,3996.18,0.40901,0.916,0.00354,0.90282,0.96557,0.93933,0.89387,0.34063,1.15336,0.00429,0.000396246,0.000396246,0.000396246
79,4044.58,0.34855,0.85793,0.00281,0.9067,0.97155,0.93663,0.89805,0.34186,1.13787,0.00461,0.000379743,0.000379743,0.000379743
80,4093.88,0.39285,0.91181,0.00334,0.90478,0.97222,0.93394,0.89376,0.35,1.1226,0.00485,0.000363239,0.000363239,0.000363239
81,4141.66,0.43043,1.03396,0.00365,0.91013,0.97074,0.93394,0.89422,0.34035,1.10718,0.0047,0.000346736,0.000346736,0.000346736
82,4188.02,0.39048,0.93936,0.00334,0.94142,0.92685,0.93777,0.90331,0.30583,1.1152,0.00412,0.000330233,0.000330233,0.000330233
83,4238.45,0.36907,0.86136,0.00295,0.94062,0.92932,0.93777,0.90552,0.28809,1.11199,0.0038,0.000313729,0.000313729,0.000313729
84,4292.24,0.33641,0.94615,0.00303,0.93995,0.93099,0.94027,0.90776,0.27839,1.10011,0.00357,0.000297226,0.000297226,0.000297226
85,4350.66,0.38616,0.97168,0.00376,0.93969,0.93539,0.94027,0.90777,0.28168,1.09182,0.00351,0.000280723,0.000280723,0.000280723
